datetime,csi1000,csi500,hs300,sse
2007-03-01,2172.815,2459.51,2473.544,2797.19
2007-03-02,2211.79,2503.68,2508.729,2831.526
2007-03-05,2225.251,2511.92,2475.606,2785.306
2007-03-06,2231.353,2516.0,2520.293,2840.175
2007-03-07,2288.398,2580.6,2589.436,2896.594
2007-03-08,2344.158,2634.88,2627.63,2928.015
2007-03-09,2366.486,2638.05,2611.393,2937.91
2007-03-12,2449.096,2696.5,2616.172,2954.914
2007-03-13,2481.589,2727.46,2640.169,2964.794
2007-03-14,2475.984,2708.69,2597.357,2906.334
2007-03-15,2531.939,2760.84,2645.546,2951.698
2007-03-16,2485.45,2710.86,2604.226,2930.481
2007-03-19,2538.296,2751.48,2659.413,3014.442
2007-03-20,2610.543,2810.71,2672.771,3032.195
2007-03-21,2659.304,2859.01,2702.597,3057.38
2007-03-22,2677.632,2861.15,2711.322,3071.225
2007-03-23,2708.89,2898.0,2716.266,3074.286
2007-03-26,2784.11,2989.05,2764.034,3122.811
2007-03-27,2835.291,3039.53,2784.023,3138.826
2007-03-28,2816.99,3004.29,2797.649,3173.018
2007-03-29,2702.906,2894.78,2783.305,3197.537
2007-03-30,2731.185,2926.06,2781.784,3183.983
2007-04-02,2796.51,2993.63,2850.107,3252.595
2007-04-03,2832.998,3042.46,2888.115,3291.299
2007-04-04,2859.24,3078.9,2911.821,3291.542
2007-04-05,2920.679,3133.14,2945.045,3319.14
